Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
387,1.04E-03,2.26E-03,3.92E-04,6.86E-01
388,9.88E-04,2.23E-03,6.13E-04,9.76E-01
389,1.14E-03,2.18E-03,5.22E-04,8.64E-01
390,8.47E-04,2.36E-03,-2.41E-04,7.86E-01
391,-6.16E-05,1.16E-04,2.50E-03,7.21E+00
392,7.83E-05,4.81E-04,2.46E-03,8.52E+00
393,-4.41E-04,4.47E-04,2.43E-03,3.07E+00
394,8.50E-05,-1.39E-04,2.50E-03,8.61E+00
395,-2.49E-03,1.70E-05,2.01E-04,3.08E+00
396,1.14E-03,-1.97E-03,-1.01E-03,1.12E+00
397,1.48E-03,1.74E-03,-1.05E-03,1.06E+00
398,1.42E-03,1.67E-03,-1.23E-03,1.13E+00
399,1.32E-03,1.79E-03,-1.17E-03,1.14E+00
400,6.58E-04,-2.35E-03,-5.01E-04,1.02E+00
401,1.48E-03,1.56E-03,-1.30E-03,1.12E+00
402,-3.31E-04,-2.46E-03,2.21E-04,2.53E+00
403,-7.99E-04,-8.80E-05,2.37E-03,3.68E+00
404,5.13E-04,-2.20E-03,-1.05E-03,1.26E+00
405,-1.16E-03,-1.36E-03,1.74E-03,7.55E+00
406,-1.01E-03,-1.50E-03,1.71E-03,7.20E+00
407,1.39E-03,-2.04E-03,-3.55E-04,8.26E-01
408,3.13E-05,6.69E-04,2.42E-03,8.39E+00
409,-5.90E-04,3.67E-04,2.41E-03,2.23E+00
410,2.53E-04,-2.63E-04,2.47E-03,9.77E+00
411,1.06E-03,1.96E-03,-1.17E-03,1.18E+00
412,8.48E-04,2.02E-03,-1.23E-03,1.22E+00
413,1.15E-03,2.22E-03,2.70E-04,6.28E-01
414,1.20E-03,-2.16E-03,-3.15E-04,7.86E-01
415,9.48E-04,-2.02E-03,-1.10E-03,1.19E+00
416,2.32E-03,-9.08E-04,1.42E-04,1.24E+00
417,2.36E-03,-8.01E-04,8.57E-05,1.32E+00
418,1.28E-03,-1.87E-03,-1.03E-03,1.10E+00
419,9.16E-04,2.31E-03,4.19E-04,6.69E-01
420,5.44E-04,-2.14E-03,-1.15E-03,1.27E+00
421,2.43E-04,6.23E-04,2.42E-03,9.34E+00
422,8.80E-04,2.29E-03,5.68E-04,8.90E-01
423,5.76E-04,2.22E-03,-1.03E-03,1.23E+00
424,-9.48E-04,2.26E-04,2.31E-03,5.31E+00
425,6.25E-04,2.13E-03,-1.17E-03,1.24E+00
426,4.09E-04,2.20E-03,-1.14E-03,1.26E+00
427,8.71E-04,2.25E-03,7.23E-04,1.24E+00
428,2.49E-03,2.43E-04,-2.17E-05,2.10E+00
429,-3.00E-04,5.79E-04,2.42E-03,5.12E+00
430,1.16E-04,5.69E-05,2.50E-03,8.79E+00
431,-2.09E-03,5.95E-04,1.24E-03,6.63E+00
432,-2.19E-03,4.90E-04,1.12E-03,6.03E+00
433,-3.07E-04,-4.21E-04,2.45E-03,4.60E+00
434,1.00E-03,-7.13E-04,-2.17E-03,1.61E+00
435,5.19E-04,2.31E-03,-8.60E-04,1.20E+00
